feature,dtype
ndvi,float64
max_temp,float64
rainfall_mm,float64
month,int32
risk_score,float64
ndvi_lag1,float64
ndvi_lag2,float64
ndvi_lag3,float64
ndvi_lag4,float64
max_temp_lag1,float64
max_temp_lag2,float64
max_temp_lag3,float64
max_temp_lag4,float64
rainfall_mm_lag1,float64
rainfall_mm_lag2,float64
rainfall_mm_lag3,float64
rainfall_mm_lag4,float64
ndvi_roll_mean_2,float64
ndvi_roll_std_2,float64
ndvi_roll_mean_4,float64
ndvi_roll_std_4,float64
ndvi_roll_mean_8,float64
ndvi_roll_std_8,float64
max_temp_roll_mean_2,float64
max_temp_roll_std_2,float64
max_temp_roll_mean_4,float64
max_temp_roll_std_4,float64
max_temp_roll_mean_8,float64
max_temp_roll_std_8,float64
rainfall_mm_roll_mean_2,float64
rainfall_mm_roll_std_2,float64
rainfall_mm_roll_mean_4,float64
rainfall_mm_roll_std_4,float64
rainfall_mm_roll_mean_8,float64
rainfall_mm_roll_std_8,float64
year,int32
quarter,int32
day_of_year,int32
month_sin,float64
month_cos,float64
day_sin,float64
day_cos,float64
temp_ndvi_interaction,float64
temp_rainfall_interaction,float64
ndvi_rainfall_interaction,float64
cumulative_rain_2periods,float64
cumulative_rain_4periods,float64
ndvi_change,float64
ndvi_pct_change,float64
max_temp_change,float64
max_temp_pct_change,float64
rainfall_mm_change,float64
rainfall_mm_pct_change,float64
